Date,Open,High,Low,Close,Volume
2022-01-03,145.32314269155728,147.8503424772675,145.0049643684626,146.99581909179688,13120900
2022-01-04,149.36849195279632,153.2502040110175,149.2957650765523,152.5684051513672,20195800
2022-01-05,153.4737740743298,153.96760558416577,149.7334005291332,149.7791290283203,17539400
2022-01-06,152.641566004991,153.06223471574233,149.8614350674541,151.37039184570312,14047500
2022-01-07,151.50753208586443,153.20852867708302,150.94967798997078,152.8701629638672,13913300
2022-01-10,154.61692514602476,154.8363996269892,151.3795370080042,153.0165252685547,12922500
2022-01-11,153.87614766816637,154.1139302807698,152.09284784553384,153.17198181152344,11854100
2022-01-12,154.05906567529286,155.09245721489734,152.888474680994,154.040771484375,12568000
2022-01-13,153.9493214882908,155.293658517145,153.53779287737984,153.84872436523438,13623400
2022-01-14,147.01729031570395,147.26421304441294,143.48726512447567,144.39263916015625,40158400
2022-01-18,142.4629844557375,142.4629844557375,137.67092625205095,138.33853149414062,32324800
2022-01-19,138.61290849514063,139.21647719433324,135.85107201268852,136.19857788085938,22380000
2022-01-20,136.2534759732858,137.73498451505623,134.76281335869302,135.03717041015625,14860800
2022-01-21,134.8908262474307,134.89996636461737,131.9369496883567,132.67770385742188,20705400
2022-01-24,130.11707153727792,133.04351401271944,127.63874601681749,132.55882263183594,28471400
2022-01-25,131.3699634747607,134.29642017241585,128.75445222043777,134.00376892089844,18915900
2022-01-26,136.0065469801425,137.69840375775206,133.48249292233052,135.27493286132812,20709100
2022-01-27,136.6466842143027,137.5246238199845,131.80891115230165,132.88803100585938,17536800
2022-01-28,131.86379699600406,134.2140910958663,130.01647451313573,134.07691955566406,14117000
2022-01-31,133.18983685460796,136.0705507719659,132.30275703535742,135.8968048095703,13985700
2022-02-01,135.97912360100284,138.52147205358028,135.62246360814137,138.22882080078125,14584900
2022-02-02,137.6343791075288,138.03676756486263,135.4121164286783,137.12225341796875,12441100
2022-02-03,137.17712191321206,138.68606467250603,135.61329658347492,135.98825073242188,12474900
2022-02-04,136.35406880450867,140.37792558479688,136.05227745283023,139.51828002929688,16654400
2022-02-07,140.16758020515485,140.48765176796417,137.95445775466555,139.98468017578125,12572300
